                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.43239,                0.40293,                 1.0493,                0.49221,                0.39835,                 1.0662,                0.89886,                0.86345,                0.91576,                0.78329,                 0.5765,                0.46281,                 1.0316,                0.60458,                0.49389,                 1.0445,             0.00028475,             0.00028475,             0.00028475
                     42,                0.41885,                0.35614,                 1.0214,                0.47408,                0.33673,                 1.0353,                0.93673,                0.83837,                0.92449,                0.79884,                0.57475,                0.47306,                 1.0224,                0.60734,                0.48561,                 1.0249,                0.00026,                0.00026,                0.00026
                     43,                0.39612,                0.32927,                 1.0164,                0.44576,                0.29983,                 1.0284,                0.93983,                0.87497,                0.92717,                0.79051,                0.56853,                0.44764,                 1.0207,                0.59831,                0.44447,                 1.0249,             0.00023525,             0.00023525,             0.00023525
                     44,                0.37948,                0.31417,                0.99743,                0.43537,                0.27396,                 1.0069,                0.97061,                0.82384,                0.92058,                 0.7928,                0.56707,                0.42905,                 1.0269,                0.60222,                0.47328,                  1.039,              0.0002105,              0.0002105,              0.0002105
                     45,                  0.364,                 0.3145,                0.98992,                 0.4174,                0.28605,                 1.0029,                0.92833,                0.87386,                0.92417,                0.78524,                0.56972,                0.47741,                 1.0283,                0.59105,                0.52457,                 1.0303,             0.00018575,             0.00018575,             0.00018575
                     46,                0.37249,                0.30851,                0.99408,                0.41038,                0.27575,                0.99419,                0.93477,                0.88847,                0.93132,                0.79989,                0.56566,                0.42391,                  1.021,                0.58843,                0.44456,                  1.022,               0.000161,               0.000161,               0.000161
                     47,                 0.3539,                0.28839,                0.97901,                0.39893,                0.25605,                0.98935,                0.92051,                0.87632,                0.93414,                0.80246,                 0.5557,                0.43196,                 1.0261,                0.59366,                0.45262,                 1.0301,             0.00013625,             0.00013625,             0.00013625
                     48,                0.34132,                0.28099,                0.96973,                0.38135,                0.24401,                0.97525,                0.89143,                0.90686,                 0.9377,                0.80913,                0.54673,                0.42165,                  1.011,                0.58554,                0.42648,                 1.0194,              0.0001115,              0.0001115,              0.0001115
                     49,                0.33865,                0.27664,                0.97362,                0.38139,                0.24247,                0.98114,                0.93169,                0.87142,                0.93827,                0.79945,                0.54344,                0.42342,                 1.0096,                0.57949,                 0.4642,                 1.0131,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.33606,                0.27486,                0.96396,                0.37596,                0.25263,                0.97034,                0.97082,                0.82596,                 0.9386,                0.81173,                0.53756,                0.41318,                 1.0099,                0.56716,                0.46117,                 1.0128,                6.2e-05,                6.2e-05,                6.2e-05
